AccSpeciesName,Unnamed: 0,OrigValueStr
Actinodaphne procera,149908,1
Actinodaphne reticulata,155192,1
Actinodaphne sesquipedalis,149909,1
Actinodaphne sphaerocarpa,149910,1
Actinostemon concepcionis,86447,1
Actinostrobus acuminatus,51646,1
Actinostrobus arenarius,51647.5,1
Actinostrobus glauca,154704,1
Actinostrobus pyramidalis,51649,1
Actinotus helianthi,30091.5,1
Actinotus minor,4419,1
Adansonia,150337,0
Adansonia aethopium,150531,0
Adansonia digitata,91704.09091,0
Adansonia fony var. rubrostipa,50541,0
Adansonia za,50542,0
Adelia,143585,1
Adelia triloba,44626.75,1
Adelobotrys adscendens,65673,1
Adelobotrys scandens,4424,1
Adenandra fragrans,141079,1
Adenandra gummifera,142002,1
Adenandra obtusata,142003,1
Adenanthera,143632,0
Adenanthera microsperma,143759,0
Adenanthera pavonina,65421.66667,0.666666667
Adenanthos cygnorum,48196.18182,1
Adenaria floribunda,60943,1
Adenia,138446,1
Adenia cissampeloides,71907,0
Adenia cordifolia,136606,1
Adenia glauca,135711,0
Adenia hondala,72052,0
Adenia lobata,72023,0
Adenia macrophylla,135500,1
Adenia mcdadiana,71858,0
Adenia spinosa,140575,0
Adenium multiflorum,145604,0
Adenium obesum,97550.66667,0
Adenocalymma apurense,66177,1
Adenocalymma arthropetiolatum,66160,1
Adenocalymma cladotrichum,59464,1
Adenocalymma inundatum,50543,0
Adenocalymma neoflavidum,143347,1
Adenocalymma subincanum,55770,1
Adenocalymma tanaeciicarpum,68113.5,1
Adenocalymna,135578,1
Adenocarpus decorticans,141811,0
Adenocarpus foliolosus,45336.88889,1
Adenocarpus viscosus,136052,1
Adenocaulon bicolor,137594,0
Adenogramma sylvatica,61524,1
Adenophora elata,74754,0
Adenophora gmelinii,48848.5,0.25
Adenophora liliifolia,17018,0
Adenophora stenanthina,48852.5,0.25
Adenophora stenophylla,71572,0
Adenophora triphylla,47936.5,0.25
Adenophyllum porophylloides,73477,0
Adenosma glutinosum,71632.5,1
Adenostemma lavenia,137595,1
Adenostoma fasciculatum,39948,1
Adenostoma sparsifolium,70412,1
Adenostorna fasciculaturn,104938.5,1
Adenostyles alliariae,17019,0
Adenostyles alpina,17020,0
Adenthera colubrina,119350.8333,0
Adesmia,3293,1
Adesmia aegiceras,67151.66667,1
Adesmia boronioides,63504,1
Adesmia patagonica,67149.33333,1
Adesmia spinosissima,72744,0
Adiantium,136823,1
Adiantum flabellulatum,4445,1
Adiantum latifolium,70619.5,1
Adiantum obliquum,70654.5,1
Adiantum pedatum,53124.6,0.2
Adiantum tenerum,136799,1
Adina pilulifera,71284.28571,0.571428571
Adinandra,144011,1
Adinandra acuminata,76515,1
